date,momentum,volatility,sentiment
2019-01-02,0.14138747179671302,-0.018132561900235714,0.08856031315227883
2019-01-03,0.257685477170184,0.2628249962542425,0.030104645556402236
2019-01-04,0.029343018239350566,-0.487139734866682,0.12506378856252495
2019-01-07,0.06828911663662654,-0.27426092894207715,0.05332775995859992
2019-01-08,0.09403189844282417,-0.0804766816200934,0.06332063557508269
2019-01-09,-0.24763823343422536,-0.03582926015822791,-0.057242260333635275
2019-01-10,0.08561255973785402,-0.039178545024336896,-0.025808820599322376
2019-01-11,-0.0709125697734875,0.05721199787734509,-0.12602300978632852
2019-01-14,0.29258082990812395,0.1285212061350411,-0.002102991934128947
2019-01-15,-0.06736008897684258,-0.48832039888655054,0.10053666071561164
2019-01-16,-0.0077125245285453725,0.0453678315346489,-0.09402469517278386
2019-01-17,-0.01387798600862374,0.28387670489578043,-0.03761052153487403
2019-01-18,0.011572591758314196,-0.1236725587905506,0.08985049397774358
2019-01-21,-0.2065138509623276,-0.2150180310523903,-0.003487950388548895
2019-01-22,0.1927165284816808,0.3878070108268365,-0.02816172484472911
2019-01-23,0.2878886764864311,0.05813115526157723,0.05232144968247699
2019-01-24,0.14785422636699622,-0.28402311621041487,-0.06332465287116716
2019-01-25,0.2309768483413515,0.11382892906028728,-0.01835064359329516
2019-01-28,0.2032943056154146,0.03359390537798825,0.062221106093850176
2019-01-29,0.36757328491800234,0.2876736981394408,-0.037179996749248385
2019-01-30,0.0248248392955757,0.2082335906251013,-0.03320297280970497
2019-01-31,0.34016711819767154,0.039920733004037326,-0.0497050135467718
2019-02-01,-0.07223988650973547,-0.6422996059910145,-0.008249805076990559
2019-02-11,-0.06180495487705126,-0.6034439566665774,0.06918595162859173
2019-02-12,-0.194214457074483,-0.04059211247263924,0.10260941234067318
2019-02-13,-0.13047492644833777,-0.2399724348990785,-0.05449214741713656
2019-02-14,0.04589582291340781,-0.18147518670821372,0.02456680062971007
2019-02-15,-0.1548388781777875,0.03099258275814432,0.02238096228972884
2019-02-18,0.3080835666254225,-0.6224863935416234,-0.06158201091769507
2019-02-19,0.0368247699047793,0.1244187031003277,-0.11428330122854768
2019-02-20,0.18586384612360365,0.029461610916700427,0.0005754288550380726
2019-02-21,0.28429495292434326,-0.13681603539239934,-0.036168841732385056
2019-02-22,0.4119896276794325,-0.44766745288986354,-0.02358243744891116
2019-02-25,0.23666666122654142,-0.33578489975165,-0.0359321895611723
2019-02-26,-0.11181258376159642,0.06857912695294412,0.10326940985792296
2019-02-27,-0.0779368353608612,0.4071058194345897,-0.030565381008501126
2019-02-28,-0.05334033895344033,-0.04792310230902053,0.0077056361094302766
2019-03-01,0.5187709934087416,-0.16257632982815184,-0.02554035497986003
2019-03-04,0.1217776196921528,-0.09768757733041,-0.07630676607830925
2019-03-05,0.24706511204395087,-0.28690705060357613,-0.08636098064157816
2019-03-06,0.15004794265171367,0.005151451911139131,0.056635813426318786
2019-03-07,0.20243276682563402,0.08497516294536556,0.0571176776588956
2019-03-08,0.11977624732262412,0.02955226675702572,-0.04806407891055702
2019-03-11,0.3119842053335205,-0.31058652601007347,0.0858098627608572
2019-03-12,0.2814502119622913,-0.11756689498373968,-0.030785011707384867
2019-03-13,-0.2845682411109117,0.37792220398044307,0.1501686438858991
2019-03-14,-0.22344088893223843,0.3390795411136585,-0.11860064277028935
2019-03-15,0.10669555786508263,-0.02363170003345628,0.194145628015775
2019-03-18,0.1607009983121447,-0.04555685685493031,-0.1343970426513137
2019-03-19,0.04931033599693355,-0.006953987452901656,0.03988996555457897
2019-03-20,0.034238154496423326,0.17198665858776602,-0.01774575651101101
2019-03-21,0.1937447330694908,-0.26416424343378037,0.10464288503963697
2019-03-22,-0.015145334543020104,0.16111239771031385,0.06038027576245033
2019-03-25,0.08209016675954994,0.16270119564278243,-0.029355581916982218
2019-03-26,-0.049488600444937754,0.31590803779255394,0.05726578969818963
2019-03-27,0.29535241715208904,0.09302738116688387,-0.02953690642130679
2019-03-28,0.18736789652826144,0.02745303412230827,-0.07502465033358918
