date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-27,000988,0.64,11.623523747669,5.61,4265855702.83,638461927.07
2026-03-26,000988,1.47,10.996669160862,13.97,14354760508.18,1470794704.16
2025-10-24,000988,1.32,10.84563156284,12.55,11037981451.57,1321308154.48
2025-08-15,000988,0.91,10.437627334762,8.7,7629000199.83,911149825.31
2025-04-25,000988,0.41,10.528950217386,3.95,3355471582.66,409904500.42
2025-04-12,000988,1.21,10.121801121625,12.65,11709175466.84,1220749895.79
2024-10-25,000988,0.93,9.86409057763,9.86,9001703896.11,937600593.43
2024-08-16,000988,0.63,9.586232369944,6.66,5273907845.64,628954606.25
2024-04-26,000988,0.29,9.400721395462,3.14,2203528213.61,290969791.55
2024-03-28,000988,1.0,9.076560340419,11.64,10309733003.52,1007476049.74
2023-10-27,000988,0.81,8.910593955885,9.47,7293425180.66,813964159.21
2023-08-21,000988,0.58,8.676742820763,6.85,5023673249.55,581797639.92
2023-04-17,000988,0.31,8.399236001142,3.67,2664844769.27,308100357.33
2023-03-01,000988,0.9,8.192337203942,10.53,12011028845.77,905942377.81
2022-10-28,000988,0.72,8.002376094717,9.35,8850571693.36,722226062.98
2022-07-28,000988,0.56,7.839288548091,7.35,6217583250.33,563309061.55
2022-04-28,000988,0.22,7.578228865584,3.01,2858113370.5,225973833.05
2022-03-30,000988,0.76,7.348366228098,10.87,10166747478.73,760983179.01
2021-10-13,000988,0.8,7.337946871127,11.43,7368275516.61,801660838.28
2021-07-28,000988,0.35,6.891037911656,5.13,4638754418.03,349152905.11
2021-04-20,000988,0.11,6.714771461297,1.7,1788486180.98,113711715.18
2021-04-09,000988,0.55,6.601633954288,8.61,6137548872.23,550490111.71
2020-10-30,000988,0.48,6.529997958315,7.67,4510296294.04,486777362.27
2020-08-26,000988,0.34,6.385873915265,5.42,2744215853.95,341617865.9
2020-04-24,000988,-0.01,6.097032930623,-0.19,759193651.51,-11764892.29
2020-04-18,000988,0.5,6.106286768684,8.52,5460245491.93,502787483.05
2019-10-29,000988,0.46,6.052598358574,7.88,3878199712.19,462709078.57
2019-08-29,000988,0.33,5.921800653342,5.69,2554416241.8,331204839.67
2019-04-27,000988,0.1,5.721619818891,1.75,1151036902.03,99947712.85
2019-03-29,000988,0.28,5.654939186245,5.2,5232838883.71,283609488.28
2018-10-30,000988,0.26,5.416627874479,4.8,4027614800.74,256451488.48
2018-08-31,000988,0.18,5.344900536762,3.4,2741690895.27,180623190.96
2018-04-28,000988,0.06,5.256947677397,1.16,1264318630.11,60749278.74
2018-04-18,000988,0.36,5.198424555828,9.38,4480552788.24,324161947.26
2017-10-31,000988,0.29,3.795725620572,7.78,3293099564.72,254929858.17
2017-08-25,000988,0.2,3.71460878708,5.44,2030934073.46,176131117.52
2017-04-20,000988,0.06,3.615480843399,1.72,926883004.67,54920167.65
2017-03-29,000988,0.26,3.554771098998,7.51,3313699242.73,229809816.82
2016-10-20,000988,0.19,3.477639406869,5.53,2450604598.87,167645841.12
2016-08-12,000988,0.13,3.416542894892,3.89,1643740631.78,117280185.81
2016-04-30,000988,0.05,3.367397498412,1.51,769321804.89,44895012.24
2016-03-31,000988,0.17,3.308132297558,5.23,2619553081.39,150830368.1
2015-10-30,000988,0.12,3.261638025436,3.82,1913894143.27,109402665.16
2015-08-25,000988,0.1,3.245091870612,3.11,1260255776.11,88939093.03
2015-04-28,000988,0.03,3.19812014127,1.02,583076474.79,28946475.67
2015-03-31,000988,0.19,3.165282351772,6.01,2353327611.37,168351348.21
2014-10-31,000988,0.17,3.148349233538,5.4,1766931590.06,147624115.71
2014-08-23,000988,0.06,3.033128327168,2.04,1124543913.46,54820908.47
2014-04-25,000988,0.02,3.004088772568,0.75,516136536.67,19914255.63
2014-02-28,000988,0.06,2.980907694785,2.0,1777374931.42,52822244.73
