date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-30,002600,0.05,3.337914519696,1.62,12642965921.25,391642372.21
2026-03-28,002600,0.33,3.2904381493,10.77,51428944353.94,2287723584.28
2025-10-30,002600,0.28,3.184711282403,9.42,37590396336.0,1941371834.93
2025-08-30,002600,0.13,2.907729702684,4.59,23625285379.19,929860823.22
2025-04-29,002600,0.08,2.905641954838,2.81,11494277784.77,565180793.18
2025-03-29,002600,0.25,2.816799849387,9.26,44259532627.2,1755226308.27
2024-10-31,002600,0.2,2.767451667693,7.49,31521690619.22,1410297093.19
2024-08-30,002600,0.1,2.662356274395,3.69,19152842271.9,684032363.23
2024-04-30,002600,0.29,2.604219758043,11.41,34123706020.59,2050908425.28
2024-04-30,002600,0.07,2.668496275839,2.49,9814838543.39,457544157.23
2023-10-28,002600,0.27,2.580438808535,10.47,24646126045.64,1869633727.67
2023-08-25,002600,0.18,2.521015332879,7.0,15288729135.11,1248104166.02
2023-04-29,002600,0.09,2.532876515677,3.7,7214282592.17,646721065.51
2023-04-29,002600,0.23,2.438901176972,9.68,34484678505.9,1596075000.09
2022-10-29,002600,0.17,2.391201855123,7.49,24668826279.35,1226059414.78
2022-08-26,002600,0.07,2.300758239232,2.99,14804606269.15,481352256.25
2022-04-28,002600,0.04,2.288211007464,1.88,7064818390.46,300790440.71
2022-04-08,002600,0.17,2.235242851452,7.81,30384494153.3,1180093116.13
2021-10-29,002600,0.18,2.252990434678,8.38,21628516375.83,1269514536.36
2021-08-27,002600,0.06,2.120337017262,2.7,12741557899.08,396451660.32
2021-04-28,002600,0.07,2.1184161006,3.15,6426701439.05,463076073.72
2021-03-31,002600,0.33,2.052490546569,17.09,28142547990.05,2266162950.77
2020-10-28,002600,0.21,1.936736214122,11.21,19502008239.72,1441847269.62
2020-07-31,002600,0.09,1.79007782844,5.3,11944215913.42,631317759.99
2020-04-30,002600,0.01,1.710303431053,0.56,5379395655.7,64876078.75
2020-04-30,002600,0.28,1.703756571945,17.49,23915823147.04,1894898038.16
2019-10-29,002600,0.31,1.758587806264,19.18,16262588185.9,2099901856.54
2019-08-26,002600,0.16,1.612685544157,10.69,9596253579.73,1114693145.21
2019-04-20,002600,0.09,1.533341902587,5.93,4642375376.42,602034276.45
2019-04-20,002600,-0.1,1.443019731424,-6.9,22499664452.56,-679896383.51
2018-10-30,002600,-0.05,1.524230471896,-3.59,16090260772.99,-351868052.11
2018-08-27,002600,-0.09,1.492390126027,-6.24,9817282574.55,-581203755.86
2018-04-28,002600,0.07,1.634508452132,4.68,4275804922.35,407196427.99
2018-04-28,002600,0.38,1.743784222326,51.09,9636635646.34,1682500604.11
2017-10-30,002600,0.23,2.278599125936,4.34,5625185466.75,1037547200.28
2017-08-29,002600,0.1192,4.475005070026,19.24,2918281090.6,528822813.04
2017-04-28,002600,0.07,4.509865134823,11.46,1398410620.62,303706739.56
2017-04-28,002600,0.11,4.460593582768,27.59,12051500774.83,234068261.7
2016-10-25,002600,0.08,4.403833767939,4.19,8237029514.75,166657489.79
2016-08-29,002600,0.02,4.357964603334,1.55,4127033137.48,51559647.22
2016-04-29,002600,0.01,3.08807688416,0.27,1594170278.37,7430239.34
2016-04-22,002600,0.06,3.078927519374,2.71,4869278346.61,46048212.08
2015-10-30,002600,0.03,3.046342330749,1.3,2844732394.26,17649056.09
2015-08-28,002600,0.01,1.916523706844,0.33,1615265758.43,4064800.55
2015-04-27,002600,-0.007,3.906553049245,-0.35,615184637.85,-4319162.71
2015-03-10,002600,0.01,3.928391395091,0.28,2060288682.23,3555296.31
2014-10-30,002600,-0.03,3.860133933103,-1.44,1340220313.97,-18125043.29
2014-08-18,002600,-0.01,3.886809424072,-0.7,848947742.32,-8879377.34
2014-04-25,002600,0.05,4.014480281655,1.34,1405167937.95,17213451.93
2014-04-25,002600,0.001,4.015882922782,0.27,311044993.9,418143.88
