date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-30,601988,0.18,8.483250158281,2.115,178846000000,56631000000
2026-03-31,601988,0.74,8.361237322012,8.94,658310000000,243021000000
2025-10-29,601988,0.55,8.298077042444,6.735,491204000000,177660000000
2025-08-30,601988,0.36,8.186063833749,4.555,329003000000,117591000000
2025-04-30,601988,0.18,8.27618992622,2.2725,164929000000,54364000000
2025-03-27,601988,0.75,8.18,9.5,630090000000,237841000000
2024-10-31,601988,0.55,7.991473837249,7.1625,478348000000,175763000000
2024-08-30,601988,0.36,7.776499042081,4.79,317076000000,118601000000
2024-04-30,601988,0.18,7.792348872916,2.465,160818000000,55989000000
2024-03-29,601988,0.74,7.58,10.12,622889000000,231904000000
2023-10-31,601988,0.55,7.357650447708,7.7775,470626000000,174858000000
2023-08-31,601988,0.37,7.187653708711,5.3,319207000000,120095000000
2023-04-29,601988,0.19,7.158556055274,2.785,165813000000,57663000000
2023-03-31,601988,0.72,6.98,10.77,585367000000,226522000000
2022-10-29,601988,0.55,6.83715368833,8.355,439619000000,172180000000
2022-08-31,601988,0.37,6.609440602198,5.78,293177000000,119165000000
2022-04-30,601988,0.19,6.624060763346,3.02,148612000000,57377000000
2022-03-30,601988,0.7,6.47,11.28,605559000000,216559000000
2021-10-30,601988,0.53,6.321555226436,8.68,456074000000,163523000000
2021-08-31,601988,0.36,6.134207236708,5.985,302988000000,112813000000
2021-04-30,601988,0.18,6.148820604101,3.0425,157855000000,53989000000
2021-03-31,601988,0.61,5.98,10.61,565531000000,192870000000
2020-10-31,601988,0.46,5.841933095099,7.98,428956000000,145711000000
2020-08-31,601988,0.32,5.771220294305,5.55,285710000000,100917000000
2020-04-30,601988,0.17,5.809299292091,3.03,148106000000,52583000000
2020-03-28,601988,0.61,5.61,11.45,549182000000,187405000000
2019-10-31,601988,0.52,5.525493566314,9.75,416333000000,159579000000
2019-08-31,601988,0.38,5.359365870891,7.28,276733000000,114048000000
2019-04-30,601988,0.17,5.312166256777,3.26,141034000000,50965000000
2019-03-30,601988,0.59,5.14,12.06,504107000000,180086000000
2018-10-30,601988,0.5,5.023791730641,10.275,376141000000,153274000000
2018-08-29,601988,0.37,4.848241096784,7.65,251447000000,109088000000
2018-04-28,601988,0.16,4.771128578611,3.48,126015000000,49001000000
2018-03-30,601988,0.56,4.74,12.24,483278000000,172407000000
2017-10-31,601988,0.47,4.692850931424,10.26,364072000000,145506000000
2017-08-31,601988,0.35,4.591437150971,7.6,248236000000,103690000000
2017-04-29,601988,0.15,4.591674932402,3.435,129295000000,46649000000
2017-04-01,601988,0.54,4.46,12.58,483630000000,164578000000
2016-10-27,601988,0.44,4.38156786282,10.245,369070000000,134813000000
2016-08-31,601988,0.31,4.241076402571,7.39,261895000000,93037000000
2016-04-27,601988,0.15,4.240808049241,3.6925,122819000000,46619000000
2016-03-31,601988,0.56,4.094025571694,14.53,474321000000,170845000000
2015-10-30,601988,0.43,3.937432911668,11.265,356773000000,131545000000
2015-08-29,601988,0.31,3.805763142519,8.155,239561000000,90746000000
2015-04-30,601988,0.16,3.830978164871,4.2325,121440000000,45838000000
2015-03-26,601988,0.61,3.702802955,17.28,456331000000,169595000000
2014-10-31,601988,0.47,3.596594344179,13.52,346334000000,131133000000
2014-08-20,601988,0.32,3.456886152524,9.285,234924000000,89724000000
2014-04-25,601988,0.16,3.481259284449,4.785,120038000000,45363000000
2014-03-27,601988,0.56,3.31,18.04,407508000000,156911000000
