date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-17,002353,2.64,22.489071216348,12.15,16222988113.76,2680474679.7
2026-04-17,002353,0.58,22.944674306104,2.52,3290570298.17,588253737.78
2025-10-24,002353,1.78,21.63195362241,8.31,10419812013.74,1807957034.34
2025-08-07,002353,1.22,21.338268659832,5.71,6900592211.47,1241147971.36
2025-04-23,002353,0.46,21.209844267293,2.18,2686602488.71,465678469.29
2025-04-10,002353,2.59,20.662457593676,13.02,13354918639.62,2627034930.95
2024-10-25,002353,1.57,19.657167894105,8.09,8046761536.6,1598437346.41
2024-08-29,002353,1.07,19.278662185743,5.52,4957098829.99,1088307086.0
2024-04-26,002353,0.37,19.14518683713,1.93,2131106989.38,375421080.49
2024-04-03,002353,2.42,18.871086512997,13.45,13912093668.1,2454377699.43
2023-10-28,002353,1.54,17.964949200079,8.75,8755980833.68,1563915464.37
2023-08-11,002353,1.03,17.445501966024,5.87,5420162262.7,1043150114.59
2023-04-29,002353,0.35,17.125576289508,2.02,2279760202.42,351380194.73
2023-04-21,002353,2.2,16.813150864174,15.05,11409012145.44,2244949636.01
2022-10-29,002353,1.47,16.186781437008,10.53,7112888300.79,1495298676.44
2022-08-10,002353,0.96,15.664274220302,7.48,4560089970.3,982791987.05
2022-04-27,002353,0.23,13.415141390036,1.72,1825021595.22,218074137.69
2022-04-15,002353,1.66,13.022079601815,13.49,8776172248.32,1586034420.17
2021-10-27,002353,1.2,12.561903115762,9.89,5528395699.44,1146049640.29
2021-08-27,002353,0.8,12.194047431897,6.66,3669060721.94,763071025.47
2021-04-28,002353,0.29,11.880498733882,2.48,1434031224.43,279009678.64
2021-04-09,002353,1.77,11.565199055056,16.23,8294957104.87,1690376838.38
2020-10-29,002353,1.17,10.977389497198,10.96,5424203299.37,1114712413.75
2020-08-11,002353,0.72,10.602375137045,6.84,3317485836.91,688734472.15
2020-04-29,002353,0.23,10.274525730911,2.27,1354037188.0,222895029.06
2020-04-10,002353,1.42,10.195426332127,14.99,6925426976.55,1360693039.87
2019-10-25,002353,0.95,9.68818365218,10.21,4240512077.51,904948580.74
2019-08-03,002353,0.52,9.254207076803,5.75,2578440884.79,499893210.81
2019-04-26,002353,0.12,8.901506324526,1.3,1011663536.62,110168739.93
2019-04-10,002353,0.64,8.784499060468,7.53,4596771206.86,615241436.05
2018-10-26,002353,0.38,8.562595662169,4.49,2906943537.16,362759992.38
2018-08-04,002353,0.19,8.330974606785,2.32,1729656104.18,186102405.43
2018-04-25,002353,0.04,8.288382558905,0.43,776283281.41,33944134.93
2018-04-04,002353,0.07,8.302605489982,0.86,3187076543.28,67789630.68
2017-10-28,002353,0.05,8.245587931548,0.62,2048536187.35,48784453.09
2017-08-10,002353,0.03,8.200448496445,0.39,1299752347.47,30365687.62
2017-04-22,002353,0.02,8.228104275792,0.29,625159071.64,23141621.92
2017-03-31,002353,0.13,8.200544524577,1.54,2833829956.95,120674141.52
2016-10-28,002353,0.1095,8.177494153305,1.34,1858468491.78,104877279.1
2016-08-06,002353,0.11,8.181319001539,1.37,1336084413.04,107220381.17
2016-04-28,002353,0.06,8.167115660828,0.74,584627728.11,57751922.54
2016-04-09,002353,0.15,8.135861002081,1.85,2826572017.2,144774755.42
2015-10-31,002353,0.1302,8.11915884844,1.58,1904797113.11,124684679.51
2015-07-31,002353,0.11,8.102200547994,1.24,1225992001.27,101239522.59
2015-04-23,002353,0.06,8.245662032983,0.71,557743000.07,55871055.07
2015-03-31,002353,1.26,8.217801761149,16.7,4460602103.85,1200252280.07
2014-10-27,002353,1.08,8.138724936107,15.36,3615199017.17,1038384524.71
2014-07-31,002353,0.67,7.748334731373,10.25,2228329332.33,644660207.55
2014-04-22,002353,0.22,11.178946091562,3.95,887131454.73,212212720.95
2014-03-29,002353,1.1,6.69932810014,27.58,3700232671.5,985191332.54
