date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-27,000617,0.12,8.418441357341,1.49,7380631554.27,1573104255.26
2026-04-27,000617,0.34,8.273902153848,4.16,33796846677.45,4299941107.39
2025-10-31,000617,0.32,8.295145245915,3.87,25645403245.71,3996862681.48
2025-08-29,000617,0.21,8.169188234752,2.52,17729752982.84,2595991175.34
2025-04-30,000617,0.1,8.100376714264,1.25,8917842423.99,1280140221.95
2025-04-03,000617,0.37,8.044422123534,4.61,39024072723.77,4652009562.82
2024-10-30,000617,0.34,8.06829465183,4.29,29215360929.33,4341930362.87
2024-08-29,000617,0.24,8.108431356533,2.99,19468980700.89,3044841727.79
2024-04-30,000617,0.14,8.039365290815,1.71,9701139108.17,1728026223.71
2024-03-29,000617,0.4,7.887149308329,5.17,38992108161.18,5064133700.75
2023-10-31,000617,0.42,7.928242637102,5.37,28214359330.1,5266167713.79
2023-08-31,000617,0.31,7.819353057075,3.99,18685291965.34,3906928366.89
2023-04-29,000617,0.17,7.745901403417,2.26,9148987111.7,2189387086.9
2023-04-01,000617,0.39,7.561062320518,5.23,32431443205.38,4918292762.9
2022-10-28,000617,0.39,7.570791280113,5.27,23300764809.09,4970348656.15
2022-08-20,000617,0.28,7.456562681322,3.73,15357845719.61,3516397964.79
2022-04-29,000617,0.14,7.412969719827,1.84,7623467524.58,1722153071.53
2022-04-02,000617,0.44,7.345275422274,6.11,30963931672.48,5550119961.32
2021-10-29,000617,0.41,7.30069024688,5.73,22771721908.73,5217141928.9
2021-08-21,000617,0.3,7.152662536239,4.11,14895120076.82,3734992515.74
2021-04-30,000617,0.14,7.179424849824,1.92,7199238840.11,1737518682.48
2021-04-02,000617,0.62,7.072757746516,9.09,30127421045.6,7843863454.16
2020-10-24,000617,0.49,6.9362422822,7.14,22577570358.49,6157195418.87
2020-08-22,000617,0.34,6.824724829074,5.0,15407206473.73,4306549085.52
2020-04-29,000617,0.15,9.522845425668,2.24,7910257738.16,1903436747.3
2020-04-02,000617,0.62,9.299084856038,9.75,33125741696.92,7792586363.51
2019-10-25,000617,0.48,9.097406325015,7.61,24482366758.19,6028386871.12
2019-08-24,000617,0.32,8.865645150103,5.17,16345767005.29,4081647089.69
2019-04-26,000617,0.23,8.865934781167,2.68,7978550822.14,2104631238.09
2019-04-12,000617,0.81,8.57850353117,9.9,33885599826.37,7322134372.2
2018-10-27,000617,0.64,8.364052853777,7.36,25258425741.62,5762275963.71
2018-08-28,000617,0.45,8.14903942956,5.54,16429109138.86,4070515755.34
2018-04-26,000617,0.21,8.113174385096,2.67,8052991088.65,1935462486.27
2018-04-12,000617,0.76,7.917664422733,9.97,29304983594.83,6842540372.67
2017-10-28,000617,0.55,7.79223123518,7.34,21104453937.62,4996269401.28
2017-08-28,000617,0.4,7.653328191859,5.32,13871925276.4,3588896669.85
2017-04-26,000617,0.16,7.427377629154,2.1,6690154769.58,1442752467.52
2017-04-26,000617,0.76,7.290235907231,10.72,28830386089.04,5535421902.28
2016-10-29,000617,0.54,1.112586233112,-48.95,20950200439.45,3935231660.97
2016-08-31,000617,0.41,1.288142347896,5.28,14036256263.46,3010410459.49
2016-04-30,000617,0.19,1.694479354571,2.65,6922031497.18,1404311008.79
2016-03-31,000617,0.83,193.554535820751,11.39,30763748100.17,6017211930.59
2015-10-29,000617,-0.09,1.997811129439,-4.32,732693722.15,-25358003.9
2015-08-29,000617,0.02,2.106811308197,1.0,609822144.62,6033834.46
2015-04-28,000617,0.0079,2.091906108106,0.38,243119468.77,2279652.74
2015-03-28,000617,-0.4,2.08317853051,10.75,929518743.99,-115180623.91
2014-10-23,000617,-0.18,2.293363551996,-7.37,682367809.54,-50474501.52
2014-08-28,000617,-0.1,2.370863013495,-4.05,481343753.2,-28213733.26
2014-04-23,000617,0.01,2.480305548078,0.35,286704371.17,2477059.39
2014-03-07,000617,0.03,2.468665433339,1.41,1624727209.92,9844601.9
