date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-28,600026,0.3977,8.822144201337,4.5762,7303414755.4,2173313711.03
2026-03-27,600026,0.8262,8.490998481348,10.42,23892259789.49,4037310920.74
2025-10-31,600026,0.5707,7.843095986246,7.3308,17107904130.42,2722895613.84
2025-08-30,600026,0.3919,7.691630196043,5.08,11641735887.59,1869484300.08
2025-04-30,600026,0.1485,7.658069011126,1.9284,5754262663.72,708525353.14
2025-03-27,600026,0.8472,7.627189046373,11.11,23269098148.97,4041765166.01
2024-10-31,600026,0.7245,7.541141716006,9.3803,17555281417.45,3456539450.83
2024-08-30,600026,0.5531,7.451897245769,7.2,11946078561.82,2638848045.66
2024-04-27,600026,0.2617,7.489009924109,3.4884,5993141250.7,1248404587.85
2024-03-29,600026,0.7088,7.37058360268,9.92,22733056873.94,3381403154.19
2023-10-27,600026,0.7785,7.307223582354,11.0618,16534602106.32,3713864739.82
2023-08-31,600026,0.5882,7.192275485225,8.43,11575383675.58,2806235695.65
2023-04-29,600026,0.2297,6.853291519002,3.2974,5630759524.57,1095888082.06
2023-03-31,600026,0.3056,6.617512282887,4.95,18657843200.85,1457074605.98
2022-10-29,600026,0.1341,6.369700444269,2.2126,12397423788.5,639782599.72
2022-08-31,600026,0.0333,6.168787753625,0.55,7512633507.55,158770021.34
2022-04-30,600026,0.0053,6.005622460566,0.0876,3477722215.51,25062817.57
2022-03-31,600026,-1.0447,6.003127240227,-15.51,12698667710.66,-4975409016.35
2021-10-30,600026,0.0932,7.177808333325,1.27,9288439428.3,443781530.05
2021-08-31,600026,0.1141,7.208678083214,1.56,6115381596.47,543625993.84
2021-04-30,600026,0.0719,7.366118390493,0.98,3077030029.55,342651167.11
2021-03-31,600026,0.518,7.269382182205,7.27,16384757725.42,2372519124.56
2020-10-30,600026,0.7356,7.566903718236,10.09,13286083158.08,3324223270.73
2020-08-28,600026,0.6612,7.516853757242,9.07,9761771459.2,2907410559.43
2020-04-30,600026,0.156,7.110306806377,2.21,4068168831.41,628874194.09
2020-03-31,600026,0.107,6.975323913857,1.54,13880075062.56,431608020.77
2019-10-31,600026,0.1445,7.027732178036,2.05,10530777946.23,582803349.78
2019-08-30,600026,0.1163,6.959398846777,1.68,7137542243.13,468906196.1
2019-04-30,600026,0.1062,6.943364590852,1.52,3847709571.87,428082373.67
2019-03-28,600026,0.0261,6.991912273276,0.37,12286002132.16,105131336.73
2018-10-31,600026,-0.0672,6.925709113461,-0.97,8304070527.33,-270850435.5
2018-08-30,600026,-0.0539,6.844854760401,-0.78,5126453950.06,-217385497.7
2018-04-28,600026,-0.0214,6.829817497475,-0.31,2406430889.04,-86481727.93
2018-03-29,600026,0.4381,6.92535111056,6.38,9778392035.65,1766340267.87
2017-10-31,600026,0.3094,6.803816806857,4.53,7275509434.22,1247612119.07
2017-08-30,600026,0.2112,6.762817335337,3.07,5109202979.9,851604984.1
2017-04-29,600026,0.1397,6.929241063167,2.03,2664732283.5,563114677.62
2017-03-29,600026,0.4768,6.798825902049,6.53,13160723505.89,1922512721.42
2016-10-29,600026,0.5505,6.751947240764,7.53,10832221787.72,2219826491.23
2016-08-30,600026,0.4515,6.666957537063,5.55,8551065391.49,1820374920.6
2016-04-29,600026,0.1355,6.373433521979,1.71,4350887663.96,546348783.92
2016-03-30,600026,0.2902,7.863828726705,3.89,17577535025.15,1153614404.5
2015-10-29,600026,0.3354,6.362012169796,3.34,12986880069.64,1328466704.77
2015-08-29,600026,0.2135,6.225638210462,2.91,8251794031.13,838051911.34
2015-04-29,600026,0.018,6.424664489132,0.28,2921154760.26,65946282.59
2015-03-28,600026,0.0913,6.050135984573,1.46,12333820377.94,310965556.34
2014-10-30,600026,0.0251,6.233009183417,0.4,9470033853.3,85288268.09
2014-08-30,600026,0.0125,6.230695659205,0.2,6316934565.77,42604930.44
2014-04-30,600026,0.0153,6.264048060292,0.24,3193757512.09,51931458.49
2014-03-19,600026,-0.6751,5.97855821371,-10.27,11392036931.66,-2298400815.97
