date,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2006-07-31,19.89,21.0,18.58,20.21,93617254.0,1846673451.0,120000000.0,0.7801437833333333
2006-08-01,19.81,21.44,19.21,20.52,25865877.0,528773490.0,120000000.0,0.215548975
2006-08-02,20.3,21.9,20.2,21.37,21449920.0,456345122.0,120000000.0,0.17874933333333334
2006-08-03,21.4,21.58,20.6,21.22,11632691.0,245761785.0,120000000.0,0.09693909166666667
2006-08-04,21.1,22.12,20.76,21.63,14576344.0,314332907.0,120000000.0,0.12146953333333334
2006-08-07,21.77,23.15,21.45,22.73,14323413.0,321071292.0,120000000.0,0.119361775
2006-08-08,22.78,23.4,22.33,22.95,9679870.0,220951074.0,120000000.0,0.08066558333333333
2006-08-09,22.8,22.88,21.71,22.0,9328782.0,207184810.0,120000000.0,0.07773985
2006-08-10,21.88,22.3,21.58,22.28,8555872.0,187582267.0,120000000.0,0.07129893333333333
2006-08-11,22.25,23.98,22.05,23.86,12181275.0,282284394.0,120000000.0,0.101510625
2006-08-14,24.08,24.47,23.34,23.79,11282717.0,269495630.0,120000000.0,0.09402264166666667
2006-08-15,23.38,24.58,22.98,24.48,11575453.0,273770349.0,120000000.0,0.09646210833333334
2006-08-16,24.5,24.68,23.9,24.1,7642225.0,185399650.0,120000000.0,0.06368520833333334
2006-08-17,23.9,24.6,23.71,23.8,6462346.0,155574377.0,120000000.0,0.05385288333333333
2006-08-18,23.8,24.09,23.5,23.61,4765777.0,113198276.0,120000000.0,0.03971480833333333
2006-08-21,22.66,23.8,22.66,23.48,5687730.0,132309559.0,120000000.0,0.04739775
2006-08-22,23.45,24.05,23.31,23.54,3776118.0,89607216.0,120000000.0,0.03146765
2006-08-23,23.45,23.8,23.0,23.31,4716143.0,110003223.0,120000000.0,0.039301191666666666
2006-08-24,23.31,24.31,23.22,24.25,6377857.0,153027192.0,120000000.0,0.05314880833333333
2006-08-25,24.27,24.42,23.92,24.0,3786390.0,91328541.0,120000000.0,0.03155325
2006-08-28,24.1,26.4,23.91,26.4,9611396.0,245851927.0,120000000.0,0.08009496666666667
2006-08-29,27.17,27.68,26.31,26.73,10993224.0,296459734.0,120000000.0,0.0916102
2006-08-30,26.5,29.4,26.31,28.92,10122071.0,284170112.0,120000000.0,0.08435059166666667
2006-08-31,28.7,29.29,28.48,29.02,6868496.0,197908862.0,120000000.0,0.05723746666666667
2006-09-01,28.95,30.99,28.83,29.03,8725988.0,260194248.0,120000000.0,0.07271656666666666
2006-09-04,29.06,29.78,28.52,29.48,6911356.0,200658949.0,120000000.0,0.05759463333333333
2006-09-05,29.3,30.38,28.6,28.73,6801913.0,198559690.0,120000000.0,0.056682608333333336
2006-09-06,28.8,28.92,27.5,28.32,6910210.0,193934511.0,120000000.0,0.057585083333333335
2006-09-07,28.28,28.78,28.0,28.59,3986985.0,113504041.0,120000000.0,0.033224875
2006-09-08,28.68,29.79,28.5,28.68,5120598.0,149630110.0,120000000.0,0.04267165
2006-09-11,28.9,29.19,27.7,28.72,4630661.0,131300049.0,120000000.0,0.038588841666666665
2006-09-12,28.76,29.15,28.35,28.89,3626083.0,104334953.0,120000000.0,0.030217358333333333
2006-09-13,28.98,29.13,27.92,28.01,3325057.0,94641762.0,120000000.0,0.027708808333333335
2006-09-14,27.69,28.36,27.38,28.31,4887994.0,135815705.0,120000000.0,0.040733283333333335
2006-09-15,28.18,28.69,27.83,28.41,3365652.0,95266407.0,120000000.0,0.0280471
2006-09-18,28.4,29.17,28.37,28.68,3189348.0,91568044.0,120000000.0,0.0265779
2006-09-19,28.66,28.67,28.05,28.09,3813322.0,107725480.0,120000000.0,0.031777683333333334
2006-09-20,28.07,30.3,28.07,29.55,8643435.0,253955779.0,120000000.0,0.072028625
2006-09-22,29.82,30.1,29.04,29.54,4030055.0,118963691.0,120000000.0,0.03358379166666667
2006-09-25,29.4,29.91,28.4,28.64,4053557.0,118034794.0,120000000.0,0.033779641666666665
2006-09-26,28.5,28.65,26.98,27.44,6257932.0,172464203.0,120000000.0,0.052149433333333335
2006-09-27,27.5,27.68,26.96,27.42,2123147.0,57882882.0,120000000.0,0.017692891666666665
2006-09-28,27.38,28.45,27.13,27.81,4136554.0,115213419.0,120000000.0,0.03447128333333333
2006-09-29,27.81,28.52,27.61,27.8,3136216.0,87822953.0,120000000.0,0.026135133333333335
2006-10-09,27.92,28.18,27.25,27.86,5969175.0,164735903.0,120000000.0,0.049743125
2006-10-10,27.7,27.83,25.91,26.28,11108025.0,295139109.0,120000000.0,0.092566875
2006-10-11,26.01,26.37,25.7,26.2,5406733.0,140700975.0,120000000.0,0.04505610833333333
2006-10-12,26.1,26.1,25.2,25.33,5404765.0,137874867.0,120000000.0,0.04503970833333333
2006-10-13,25.2,25.88,25.1,25.66,2605932.0,66650290.0,120000000.0,0.0217161
2006-10-16,25.45,25.7,24.9,25.47,2825476.0,71311373.0,120000000.0,0.023545633333333333
2006-10-17,25.36,26.45,25.26,25.87,3671618.0,95723135.0,120000000.0,0.030596816666666665
2006-10-18,25.96,27.0,25.58,26.91,4796635.0,127023358.0,120000000.0,0.039971958333333335
2006-10-19,26.9,26.99,26.35,26.45,3411349.0,90670827.0,120000000.0,0.028427908333333335
2006-10-20,26.35,27.05,26.25,26.97,2962724.0,79394905.0,120000000.0,0.024689366666666667
2006-10-23,26.96,26.98,26.25,26.34,2535240.0,67270580.0,120000000.0,0.021127
2006-10-24,26.33,27.88,26.33,27.71,4734908.0,129492253.0,120000000.0,0.039457566666666666
2006-10-25,27.66,28.12,27.35,27.5,2770996.0,76838090.0,120000000.0,0.023091633333333333
2006-10-26,27.4,28.65,27.0,28.21,5889991.0,165433380.0,120000000.0,0.04908325833333333
2006-10-27,28.23,29.01,27.9,28.2,3669167.0,104911647.0,120000000.0,0.030576391666666668
