date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-28,301269,0.11,9.62905271774,1.19,1324976566.63,60983525.27
2026-04-28,301269,-0.13,9.538227960915,-1.39,256932598.84,-73003923.19
2025-10-30,301269,0.0166,9.526536386376,0.18,804774812.23,9060265.85
2025-08-16,301269,0.0057,9.267700033514,0.06,501536958.62,3067913.85
2025-04-29,301269,0.02,9.333024475803,0.19,234322703.68,9713941.82
2025-04-28,301269,0.2,9.216874458957,2.24,1222354443.47,109478790.34
2024-10-30,301269,0.1078,9.03313445222,1.21,743538328.46,58545382.29
2024-08-09,301269,0.0698,8.911251193756,0.78,443788033.21,37871268.21
2024-04-29,301269,0.37,8.810051204405,4.26,1010402077.64,200722810.92
2024-04-29,301269,0.01,8.915623827802,0.16,213459772.37,7665401.36
2023-10-31,301269,0.3157,8.746947667655,3.64,639588311.44,171402408.29
2023-07-28,301269,0.1544,8.581452908574,1.79,404834819.33,83810436.53
2023-04-28,301269,0.0389,8.605695111782,0.45,159783958.07,21146215.92
2023-04-28,301269,0.39,8.568302018846,7.33,798060770.75,185508367.58
2022-10-25,301269,0.2461,8.435344686302,6.19,482790475.98,112842626.31
2022-10-25,301269,0.1769,,,344760138.29,76825234.36
2022-08-25,301269,0.0931,2.390722187002,3.98,266487581.85,40428729.09
2022-07-11,301269,0.0241,2.324899563884,1.19,97006642.75,10483277.75
2022-07-11,301269,,,0.73,63878619.77,6378853.07
2022-03-30,301269,0.32,2.2896627456,15.05,579302046.77,139305915.64
2021-11-19,301269,0.0454,2.01685552307,2.29,182365000.26,19719489.71
2021-11-19,301269,,,,160805400.0,-12654900.0
2021-06-21,301269,,2.856123440884,12.53,257219984.89,57157732.35
2021-06-21,301269,0.31,1.973673508849,14.35,414802193.31,103558656.06
2021-06-21,301269,,2.486202558927,20.62,150781951.28,48519408.78
