date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-29,601601,1.04,33.222661122661,3.2,92547000000,10041000000
2026-03-27,601601,5.56,31.407796257796,18.0,435156000000,53505000000
2025-10-31,601601,4.75,29.54106029106,15.8,344904000000,45700000000
2025-08-29,601601,2.9,29.30051975052,9.6,200496000000,27885000000
2025-04-26,601601,1.0,27.402286902287,3.5,93717000000,9627000000
2025-03-27,601601,4.67,30.29,16.6,404089000000,44960000000
2024-10-31,601601,3.98,28.413097713098,14.6,310564000000,38310000000
2024-08-30,601601,2.61,27.786902286902,9.5,194634000000,25132000000
2024-04-27,601601,1.22,26.807172557173,4.6,95428000000,11759000000
2024-03-29,601601,2.83,25.94,11.4,323945000000,27257000000
2023-10-28,601601,2.41,24.794178794179,9.9,255926000000,23149000000
2023-08-28,601601,1.91,25.258835758836,7.6,175539000000,18332000000
2023-04-28,601601,1.21,25.824428274428,4.9,94386000000,11626000000
2023-03-27,601601,3.89,20.42,19.2,332140000000,37381000000
2022-10-29,601601,3.18,23.060810810811,16.1,253494000000,30617000000
2022-08-29,601601,2.09,23.562577962578,10.1,164857000000,20074000000
2022-04-29,601601,0.95,23.025675675676,4.7,79058000000,9127000000
2022-03-28,601601,2.79,23.57,12.2,440643000000,26834000000
2021-10-30,601601,2.36,22.944299953644,10.4,350934000000,22686000000
2021-08-30,601601,1.8,22.716632016632,7.8,252512000000,17304000000
2021-04-29,601601,0.89,23.01683991684,3.9,151263000000,8547000000
2021-03-29,601601,2.63,22.37,12.6,422182000000,24584000000
2020-10-31,601601,2.12,21.075883575884,10.4,341920000000,19648000000
2020-08-24,601601,1.57,20.551169590643,7.7,235481000000,14239000000
2020-04-25,601601,0.93,20.516994041051,4.6,138211000000,8388000000
2020-03-23,601601,3.06,19.69,16.9,385489000000,27741000000
2019-10-31,601601,2.53,18.78536746855,14.2,311226000000,22914000000
2019-08-26,601601,1.79,17.934892959612,10.1,220386000000,16183000000
2019-04-27,601601,0.6,17.886779960274,3.5,133153000000,5479000000
2019-03-25,601601,1.99,16.51,12.6,354363000000,18019000000
2018-10-27,601601,1.4,15.779739571838,9.0,289815000000,12715000000
2018-08-27,601601,0.91,15.32531450011,5.8,204694000000,8254000000
2018-04-28,601601,0.41,15.625027587729,2.7,124438000000,3751000000
2018-03-30,601601,1.62,15.17,10.9,319809000000,14662000000
2017-10-28,601601,1.21,14.980247186052,8.1,259123000000,10926000000
2017-08-28,601601,0.72,14.51269035533,4.8,177561000000,6509000000
2017-04-29,601601,0.22,14.648973736482,1.5,108402000000,2000000000
2017-03-30,601601,1.33,14.54,9.1,267037000000,12057000000
2016-10-29,601601,0.97,14.458728757449,6.6,213273000000,8829000000
2016-08-29,601601,0.68,14.009821231516,4.6,144706000000,6142000000
2016-04-30,601601,0.24,14.611675126904,1.7,83443000000,2199000000
2016-03-28,601601,1.96,14.71,14.2,247202000000,17728000000
2015-10-31,601601,1.66,14.016111233723,12.3,193301000000,15036000000
2015-08-31,601601,1.25,14.191127786361,9.1,134514000000,11295000000
2015-04-30,601601,0.54,13.656477598764,4.1,73762000000,4903000000
2015-03-30,601601,1.22,12.93,10.3,219778000000,11049000000
2014-10-25,601601,0.99,12.93,8.5,165666000000,8960000000
2014-08-25,601601,0.76,11.734826749062,6.6,114145000000,6848000000
2014-08-25,601601,0.6,10.92,5.6,104068000000,5464000000
2014-04-25,601601,0.35,11.393180313397,3.2,63720000000,3211000000
