date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-30,600905,0.1298,3.101261751448,4.23,28399420251.56,3714396619.2
2026-04-30,600905,0.0364,3.13832691093,1.17,6948044201.27,1040089057.28
2025-10-31,600905,0.1508,3.120919650028,4.88,21280343043.89,4312889063.25
2025-08-30,600905,0.1333,3.098773588731,4.3,14735816204.92,3815195092.4
2025-04-30,600905,0.0855,3.118617047698,2.78,7628320608.76,2446780116.92
2025-04-30,600905,0.2135,3.031749280977,7.22,29717044357.67,6109507165.97
2024-10-31,600905,0.1779,2.99191602436,5.98,21771529420.89,5092273491.19
2024-08-31,600905,0.141,2.952700210279,4.77,15066136731.31,4036302008.91
2024-04-30,600905,0.2506,2.881608672947,8.99,26501574113.98,7174124131.49
2024-04-30,600905,0.0845,2.972725818849,2.89,7902142296.56,2419080979.78
2023-10-30,600905,0.1899,2.807213896113,6.88,19289043293.68,5436184327.05
2023-08-31,600905,0.1578,2.772816672303,5.7,13703723334.87,4516621924.7
2023-04-29,600905,0.0845,2.771807325133,3.09,6853129450.44,2419395387.24
2023-04-29,600905,0.2487,2.696903746059,9.63,23812176257.98,7114445126.12
2022-10-29,600905,0.2148,2.648987071531,8.41,17406286458.35,6146765936.66
2022-08-31,600905,0.1762,2.610318797995,6.91,12129271830.33,5024060760.14
2022-04-28,600905,0.2653,2.457820933464,11.43,16417133208.95,6442257096.68
2022-04-28,600905,0.0792,2.48411415278,3.24,5788736223.24,2264001115.56
2021-10-30,600905,0.1921,2.350806391721,8.68,11739897825.39,4519255077.36
2021-08-27,600905,0.176,2.363393545483,8.32,8345177500.89,3686791174.01
2021-04-30,600905,0.0747,2.170404016097,3.5,3812417665.76,1607453856.61
2021-04-26,600905,0.1805,2.095658740172,8.98,11314932063.2,3610991283.59
2021-03-11,600905,0.1406,2.056334527238,7.05,8098241231.77,2811297730.38
2020-10-10,600905,0.0494,1.974965183112,2.53,2664506371.28,987334251.32
2020-10-10,600905,0.142,1.923698845244,7.08,8956644467.55,2839735773.59
2020-08-31,600905,,,,4530749180.45,1860111066.14
2020-08-31,600905,0.1039,2.023599361844,5.26,5635406775.43,2078332901.09
2020-04-03,600905,,2.184044775437,7.47,7382911880.02,2708569637.26
2020-04-03,600905,0.1018,1.896607066679,5.41,6461219782.93,2036397641.42
2020-04-03,600905,,1.989751837826,10.15,6780849991.24,2429720972.14
2020-04-03,600905,,1.491067266099,7.61,5176105253.54,1547400926.3
2017-10-31,600905,,1.592497063749,,5034724860.95,1935688276.17
2017-10-31,600905,,,,3472430036.63,1077058200.01
2013-03-11,600905,,1.445828884684,,1465844500.0,395086000.0
2011-10-27,600905,,1.512446419119,,1021851734.01,252223293.29
2011-08-30,600905,,1.517423307227,,709170140.98,189089171.81
2011-04-28,600905,0.0,1.806395042518,,245843123.52,84852911.93
2011-04-28,600905,0.0,1.625828859386,,1298139819.28,1120155622.38
2010-10-27,600905,,1.418890068775,,869894713.96,307304640.6
2010-08-30,600905,0.0,1.332102790809,,451602471.5,148970660.95
2010-04-30,600905,0.0,1.277344279939,,890249694.45,95700570.86
2010-04-30,600905,0.0,1.29810476132,,201256794.13,56478939.69
2009-10-28,600905,0.0,1.478859373783,,674130758.58,148752911.72
2009-08-27,600905,0.0,1.453896587384,,365810303.16,69823288.7
2009-05-07,600905,0.0,1.439885988096,,121823204.03,31973896.65
2009-05-07,600905,0.0,1.486138343592,,4196313023.45,239545222.83
2009-01-23,600905,0.0,1.347227742779,,3445645153.36,145109113.79
2009-01-23,600905,0.0,1.113976129894,,3089768532.85,91256502.01
2009-01-23,600905,0.0,1.420817362123,,2628540224.81,62942168.47
2009-01-23,600905,,1.068940226893,,2632176129.6,
