date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-30,600221,0.0399,0.160918135223,28.1,18473382000,1725206000
2026-04-18,600221,0.046,0.1218244824,51.67,68470915000,1979588000
2025-10-31,600221,0.0658,0.124535584716,74.25,53437562000,2844911000
2025-08-30,600221,0.0013,0.059298056777,2.38,33083352000,56945000
2025-04-30,600221,0.0063,0.057928690456,11.4,17601299000,272274000
2025-04-30,600221,-0.021,0.052594533386,-36.76,65235900000,-921216000
2024-10-31,600221,0.0503,0.100810927538,62.45,51728852000,2172860000
2024-08-31,600221,-0.0147,0.032926395708,-32.9,31742628000,-636040000
2024-04-27,600221,0.007,0.053452070306,14.75,58641088000,310854000
2024-04-27,600221,0.0159,0.063935961085,26.98,17549904000,686528000
2023-10-31,600221,0.0205,0.087241740519,33.71,46738391000,885320000
2023-08-31,600221,-0.0372,0.023776651004,-182.12,27636003000,-1609365000
2023-04-29,600221,0.0037,0.053521465829,10.19,13147778000,158002000
2023-04-21,600221,-0.594,0.026943468049,3039.37,22864193000,-20246960000
2022-10-31,600221,-0.6269,-0.370175771161,,18727940000,-20838850000
2022-08-31,600221,-0.3862,-0.126945376493,,11076011000,-12837073000
2022-04-30,600221,0.26,0.255388310622,-17.16,34002019000,4720934000
2022-04-30,600221,-0.1083,0.144143057374,-54.18,6371300000,-3598664000
2021-10-29,600221,-0.2048,-2.138575250818,,27257131000,-3442231000
2021-08-31,600221,-0.0524,-1.979237384953,,18333571000,-880889000
2021-04-30,600221,-0.1547,-2.097237494437,,7733004000,-2599530000
2021-04-30,600221,-3.834,-1.688165501615,,29401026000,-64003308000
2020-10-31,600221,-0.9298,1.858432106875,-35.23,19845287000,-15627164000
2020-08-29,600221,-0.7035,2.070553941064,-25.66,11711856000,-11823220000
2020-04-30,600221,0.006,2.756204049477,0.22,72389410000,519037000
2020-04-30,600221,-0.3745,2.416767641788,-12.85,6888591000,-6294572000
2019-10-31,600221,0.036,2.880621047571,1.14,56479571000,611842000
2019-08-30,600221,0.03,2.881064635978,0.94,35035234000,503448000
2019-04-30,600221,0.0678,2.936475879025,2.11,18633230000,1140027000
2019-04-30,600221,-0.23,2.881070050672,-7.67,67763934000,-3591429000
2018-10-31,600221,0.043,3.112079111657,1.26,52355361000,728977000
2018-08-30,600221,0.0326,3.120176221519,0.95,32941415000,548484000
2018-04-28,600221,0.0796,3.187317179694,2.3,16808845000,1337660000
2018-03-23,600221,0.182,3.117630482229,5.91,59903948000,3322947000
2017-10-31,600221,0.164,3.168688430167,3.84,45182402000,2757764000
2017-08-26,600221,0.0683,3.059438049948,1.94,28526222000,1147333000
2017-04-29,600221,0.0497,3.079672940572,1.43,14537808000,835140000
2017-03-29,600221,0.21,3.027128748337,7.6,40678130000,3138255000
2016-10-29,600221,0.27,3.030462712393,8.84,30811958000,3403288000
2016-08-30,600221,0.137,2.676692073719,4.88,18995991000,1673339000
2016-04-29,600221,0.1183,2.652276825285,4.07,10082758000,1441057000
2016-03-25,600221,0.246,2.54318610574,10.0,35225439000,3002694000
2015-10-30,600221,0.204,2.464761813606,8.49,26624458000,2489799000
2015-08-14,600221,0.132,2.427878765889,5.5,16622019000,1602467000
2015-04-30,600221,0.0756,2.439771627119,3.16,9122153000,921019000
2015-03-26,600221,0.213,2.351929646101,9.0,36043771000,2591173000
2014-10-31,600221,0.155,2.233441513187,6.98,27801405000,1887848000
2014-08-28,600221,0.0396,2.114267542547,6.98,17989359000,482789000
2014-04-30,600221,0.0143,2.076586361951,0.67,8573164000,174627000
2014-03-19,600221,0.177,2.226273175035,8.0,33276254000,2158660000
