date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-29,601018,0.06,4.212936742086,1.44,8190825000,1169936000
2026-04-02,601018,0.27,4.150890482908,6.46,31020365000,5168472000
2025-10-30,601018,0.199,4.093075608444,4.89,22882426000,3874560000
2025-08-29,601018,0.13,4.060794921948,3.29,14914506000,2597046000
2025-04-29,601018,0.06,4.080769541555,1.48,7082515000,1175138000
2025-03-28,601018,0.25,4.06,6.36,28879154000,4893103000
2024-10-30,601018,0.211,3.981021710886,5.39,21859245000,4101967000
2024-08-30,601018,0.11,3.876428443804,2.96,14472096000,2231713000
2024-04-27,601018,0.06,3.908842622035,1.49,6926840000,1123678000
2024-03-28,601018,0.24,3.85,6.36,25993200000,4668391000
2023-10-28,601018,0.207,3.816534809525,5.49,19216825000,4025541000
2023-08-31,601018,0.11,3.726147591998,3.02,12415879000,2201961000
2023-04-29,601018,0.05,3.750637902359,1.37,5823212000,993630000
2023-01-18,601018,0.25,3.71,7.1,25963339000,4226620000
2022-10-29,601018,0.221,3.64048784264,6.26,19981373000,3498283000
2022-08-30,601018,0.15,3.520094143148,4.25,13194421000,2354965000
2022-04-29,601018,0.07,3.528613435073,1.94,6211554000,1073373000
2022-01-22,601018,0.27,3.46,8.04,23127500000,4331678000
2021-10-30,601018,0.216,3.400872940954,6.34,16954029000,3420322000
2021-08-30,601018,0.14,3.32701623548,4.14,10863631000,2249918000
2021-04-29,601018,0.07,3.321508631043,1.95,5020410000,1059358000
2021-03-31,601018,0.25,3.4,7.01,21543194000,3497465000
2020-10-30,601018,0.227,3.280148914896,6.4,13910447000,3056465000
2020-08-29,601018,0.13,3.120159968444,3.59,8896504000,1662138000
2020-04-29,601018,0.04,3.13730607079,1.18,4114440000,518702000
2020-01-16,601018,0.25,3.31,7.95,25324885000,3338882000
2019-10-30,601018,0.223,3.042777233898,7.5,17202330000,2936604000
2019-08-30,601018,0.16,2.977982437815,5.3,11186126000,2065823000
2019-04-30,601018,0.06,2.971484602267,1.98,5456159000,769028000
2019-01-19,601018,0.22,2.91,7.75,21952453000,2885920000
2018-10-30,601018,0.183,2.873177311391,6.51,16472494000,2413520000
2018-08-30,601018,0.12,2.807100560183,4.24,10898657000,1563723000
2018-04-28,601018,0.06,2.820234697918,2.04,5086875000,748805000
2018-01-30,601018,0.2,2.76,7.51,18182917000,2676654000
2017-10-30,601018,0.176,2.737695447484,6.57,13002435000,2316247000
2017-08-30,601018,0.1,2.665198748213,3.93,8007531000,1376894000
2017-04-29,601018,0.05,2.679444566581,1.95,3817723000,681854000
2017-03-30,601018,0.17,2.63,6.82,16325329000,2298920000
2016-10-31,601018,0.143,2.620327889611,5.56,12533657000,1886719000
2016-08-31,601018,0.09,2.520315,3.75,8627708000,1234006000
2016-04-29,601018,0.05,2.564527421875,1.97,4837942000,661510000
2016-04-01,601018,0.2,2.6,8.17,16663790000,2642058000
2015-10-30,601018,0.174,2.482778828125,6.98,13029870000,2286690000
2015-08-29,601018,0.12,2.43,4.87,8605411000,1513964000
2015-04-29,601018,0.06,2.455980234375,2.46,4320835000,764994000
2015-03-31,601018,0.22,2.4,9.5,13415207000,2818632000
2014-10-30,601018,0.186,2.353375625,8.06,9372530000,2377266000
2014-08-29,601018,0.13,2.29,5.56,5908656000,1636654000
2014-04-30,601018,0.05,2.298706953125,2.26,2724426000,658730000
2014-04-11,601018,0.22,2.25,10.17,11395536000,2839820000
