date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-21,002837,0.54,3.526572573158,16.58,6067759091.55,521914773.0
2026-04-21,002837,0.01,3.541678473906,0.25,1175329313.61,8657602.27
2025-10-14,002837,0.41,3.392592080449,12.97,4026030778.35,399069661.11
2025-08-19,002837,0.22,3.107501387501,7.17,2573139460.9,215640426.56
2025-04-22,002837,0.05,3.992146121941,1.63,932585781.26,48010475.41
2025-04-22,002837,0.47,3.91732141743,16.88,4588819487.27,452664369.42
2024-10-25,002837,0.37,3.756160195037,13.39,2871742557.75,352755913.7
2024-08-13,002837,0.19,3.497757244727,7.13,1712557931.47,183466097.22
2024-04-23,002837,0.08,4.509387033822,2.46,745644712.04,61975220.35
2024-04-16,002837,0.47,4.373673972633,15.03,3528859077.13,344006335.07
2023-10-20,002837,0.29,4.10207536452,9.38,2071884070.28,210234850.43
2023-08-22,002837,0.13,3.845181481749,4.19,1238868131.93,91904014.1
2023-04-27,002837,0.04,4.980427349088,1.17,527465864.45,25097874.3
2023-04-11,002837,0.5,4.871649462906,14.14,2923181920.56,280282938.05
2022-10-26,002837,0.21,4.443500906805,6.17,1485063513.26,116858433.4
2022-08-09,002837,0.09,4.256294297688,2.79,872705211.4,52342921.21
2022-04-26,002837,0.48,5.554598342949,13.23,2228220907.71,205047595.71
2022-04-26,002837,0.03,5.592486038387,0.68,400173374.16,12686178.44
2021-10-26,002837,0.36,5.593454921881,10.4,1503678924.15,151418055.31
2021-08-03,002837,0.26,4.516902729414,7.37,981235075.67,106936965.17
2021-04-27,002837,0.57,4.357165150987,13.75,1703335763.28,181682137.28
2021-04-27,002837,0.1,4.463178931409,2.19,341737793.95,31142136.29
2020-10-27,002837,0.381,4.174100977308,9.44,1063094602.22,122321010.1
2020-07-28,002837,0.24,4.030322601753,5.94,670663329.84,75944526.65
2020-04-28,002837,0.5,5.78976838726,13.77,1337544861.8,160099011.04
2020-04-28,002837,0.03,5.846057508993,0.84,216929723.87,10534641.16
2019-10-29,002837,0.32,5.517048847755,8.94,848795932.83,101763637.13
2019-08-27,002837,0.17,5.286901268523,4.85,465189899.64,54201365.61
2019-04-29,002837,0.03,5.075346433972,0.55,184300964.29,5932319.89
2019-04-10,002837,0.52,5.02490660986,11.92,1070353252.76,107794333.18
2018-10-30,002837,0.42,4.899119570473,10.26,694899346.0,85161446.63
2018-08-14,002837,0.22,4.687752658138,5.88,432806108.15,43963379.7
2018-04-27,002837,0.01,3.308357192169,0.37,137047041.04,2876428.43
2018-02-06,002837,0.49,7.47608848875,28.56,518244872.19,71805645.78
2018-02-06,002837,0.43,3.326954085633,13.5,786987376.78,85606736.96
2017-10-28,002837,0.29,3.141926825928,8.95,478775356.88,57052653.63
2017-10-28,002837,0.92,,22.67,371557110.34,55083680.49
2017-08-11,002837,0.2,3.047418135549,6.42,302777089.22,39941504.39
2017-04-25,002837,0.19,,5.02,88765347.32,11103538.02
2017-04-25,002837,0.07,7.652969596875,2.29,119057553.98,13634360.03
2016-12-15,002837,1.13,3.591489894,37.34,421303110.2,67803918.77
2016-10-14,002837,0.63,4.2192625785,16.07,237660375.05,37661379.54
2016-10-14,002837,0.71,2.461424581167,33.64,275421727.44,42530592.62
2014-10-24,002837,,1.464664237,37.12,47753167.4,4585598.2
2014-10-24,002837,,4.000951484298,95.44,143685353.17,26738275.65
2014-10-24,002837,0.66,1.752581370833,42.27,218539649.32,33323096.23
2014-10-24,002837,0.25,2.005251743667,13.45,120209782.99,15160222.37
