date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-30,600918,0.05,5.643858831125,0.97,3106618447.76,468989645.57
2026-03-31,600918,0.18,5.605340485598,3.32,11392557674.2,1434724436.51
2025-10-31,600918,0.17,5.530339862136,3.11,9005133501.66,1299947849.19
2025-08-30,600918,0.09,5.441660174391,1.67,5257177669.32,711305251.65
2025-04-30,600918,0.05,5.438762739741,0.88,2482580529.36,369863960.38
2025-03-22,600918,0.11,5.41306850139,2.14,9689601762.61,937290131.82
2024-10-31,600918,0.06,5.337863174684,1.09,7424055939.92,502625535.41
2024-08-31,600918,0.05,5.317915475986,0.92,5098680413.28,401271823.74
2024-04-30,600918,0.04,5.346372595303,0.82,2539079317.87,331384466.85
2024-03-30,600918,0.24,5.299503206141,4.71,12761895252.53,1799796559.84
2023-10-31,600918,0.26,5.305217484512,5.03,9275619995.53,1893246652.04
2023-08-29,600918,0.23,5.28745927296,4.4,6624029474.16,1638828092.94
2023-04-15,600918,0.16,5.23578223739,3.15,3570214868.97,1152635743.1
2023-03-31,600918,0.08,5.050301576099,1.61,9324533356.02,590207682.2
2022-10-29,600918,0.13,5.116820328553,2.59,7417449490.41,928165903.12
2022-08-27,600918,0.13,5.154390549926,2.53,5014135573.23,911548799.29
2022-04-29,600918,0.03,5.113261713539,0.62,1852027368.58,219966654.31
2022-03-30,600918,0.46,5.135864123108,9.25,13149669222.3,3200009354.36
2021-10-29,600918,0.37,5.043675689134,7.39,9003418747.89,2544352546.75
2021-08-28,600918,0.24,5.006554979014,4.99,5760832968.28,1701173015.28
2021-04-29,600918,0.1,4.861545955858,1.98,2449259353.94,666340029.62
2021-04-24,600918,0.36,4.77544027706,7.73,10352224019.84,2525298270.86
2020-10-30,600918,0.33,4.734511391547,7.1,7529204142.62,2294728979.24
2020-08-28,600918,0.19,4.608095883069,4.27,4802218063.26,1383125268.5
2020-06-02,600918,0.11,4.540539162494,2.35,2416531318.32,751360194.97
2020-04-28,600918,0.3,4.450037179202,7.06,9708987193.91,2249463067.12
2020-03-27,600918,0.08,,,5175355303.23,786367666.92
2020-03-27,600918,0.24,4.372567561459,5.69,7312643952.03,1776817251.4
2019-08-30,600918,0.16,4.308298096543,3.84,4819776546.85,1188514204.21
2019-08-05,600918,0.12,4.288732415435,2.93,2695989267.4,858323873.14
2019-04-30,600918,0.1,4.093629130582,2.49,7025218940.45,1009145069.71
2018-09-01,600918,0.07,4.298701988711,,3335537006.75,597527991.87
2018-08-23,600918,0.04,4.289091192091,,1790483377.36,358914734.15
2018-01-18,600918,0.23,4.268249289746,5.53,8168926941.65,1795153414.05
2017-07-19,600918,,4.059682756175,,3883479402.16,968579656.88
2017-04-27,600918,1.05,4.041907775239,,15045289807.52,6062485984.47
2017-04-27,600918,0.33,4.075534405727,8.31,8347371893.3,2451977469.41
2016-08-31,600918,1.05,,,9035754569.39,4039929110.69
2016-07-19,600918,0.14,3.830843396142,,3773686189.15,1072868255.9
2016-03-25,600918,,3.786591863035,30.46,11962436800.0,4996420100.0
2015-01-20,600918,0.35,2.753298576953,14.3,5874417405.85,1873533391.99
2014-12-11,600918,,2.398302929697,,1998245286.32,440792016.61
2014-04-30,600918,,2.19258813912,4.25,3011258600.0,474357800.0
2014-04-30,600918,,2.275699340114,7.5,4081226500.0,869628500.0
2013-09-11,600918,,2.094101972361,,5553674999.94,2324058915.12
2013-09-11,600918,,2.06244656588,,4548779404.41,1454611065.07
2013-07-18,600918,,2.19316425874,,1882557415.33,430501864.61
2013-04-27,600918,,2.128935875227,,3047043208.35,434009293.55
2012-07-16,600918,,2.14732219408,,1645694143.07,338443833.39
2011-07-19,600918,0.0,2.121651807107,,1659758042.1,320067558.54
