date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-30,600886,0.9166,8.363355063196,11.35,53014434927.3,7393381322.0
2026-04-30,600886,0.2603,8.622435881845,3.06,12513846246.56,2117951994.59
2025-10-31,600886,0.8135,8.279324748671,10.06,40572491647.42,6517030546.19
2025-08-30,600886,0.4763,7.943775263583,5.93,25696904636.55,3794528034.58
2025-04-30,600886,0.2676,8.167401525799,3.43,13121801284.04,2078173518.71
2025-04-30,600886,0.8669,7.551396414565,11.8,57819279281.44,6643033266.19
2024-10-31,600886,0.8634,7.559000383511,11.63,44395208099.42,6577795629.35
2024-08-29,600886,0.4902,7.171590173417,6.62,27101636543.75,3743702443.1
2024-04-30,600886,0.2671,7.432127648603,3.66,14107816667.34,2035488978.93
2024-04-30,600886,0.8754,7.159421332662,12.78,56711862469.69,6704936953.85
2023-10-28,600886,0.7938,7.102754556127,11.58,42548712586.17,6051980712.81
2023-08-30,600886,0.4356,6.749973501413,6.44,26366537416.36,3336922611.0
2023-04-29,600886,0.2105,6.770257313131,3.16,13255789154.28,1613692031.23
2023-04-29,600886,0.5215,6.548714073395,8.25,50489243623.57,4080677255.05
2022-10-29,600886,0.5341,6.527054505199,8.41,38170789627.95,4125498219.1
2022-08-31,600886,0.3022,6.311439083003,4.8,22693994082.94,2347946516.88
2022-04-29,600886,0.3229,6.140894302182,5.39,43766254477.99,2455819539.24
2022-04-29,600886,0.1328,6.275603029181,2.14,11042015519.58,1037552666.55
2021-10-30,600886,0.4776,6.207027189263,7.7,32341787851.83,3475232818.78
2021-08-31,600886,0.3195,6.023796566922,5.22,19301403856.12,2340849477.29
2021-04-29,600886,0.1656,6.148393542269,2.74,9194080949.44,1219371458.12
2021-04-29,600886,0.777,5.961601320902,13.78,39320364093.66,5515627276.16
2020-10-31,600886,0.7444,5.873063801665,12.98,29676002860.49,5210932943.57
2020-08-22,600886,0.438,5.550164122745,7.85,17470336116.13,3075779958.24
2020-04-30,600886,0.2102,5.575570747343,3.47,7584831637.59,1477728662.49
2020-04-18,600886,0.6705,5.361533772471,11.66,42433460265.79,4755460882.37
2019-10-31,600886,0.6034,5.316556667357,10.75,32246058972.26,4332672876.79
2019-08-26,600886,0.3204,5.025972726166,5.74,19609475053.75,2276029341.22
2019-04-30,600886,0.1473,5.135690582548,2.61,10115143589.44,1049957150.74
2019-03-29,600886,0.6256,4.964990806123,12.44,41011372735.69,4364098425.7
2018-10-31,600886,0.5298,4.864238047292,10.64,30287409358.62,3595335877.63
2018-08-15,600886,0.2314,4.570023467511,4.94,17786476419.6,1570506929.05
2018-04-28,600886,0.1441,4.651833313619,3.19,9397154643.77,989237776.21
2018-03-27,600886,0.4763,4.502670197896,10.91,31643064641.0,3232300015.74
2017-10-31,600886,0.4351,4.457894332318,9.94,24205181216.64,2952819231.0
2017-08-31,600886,0.1901,4.414511835771,4.4,13963103340.84,1290029977.98
2017-04-29,600886,0.137,4.362415153384,3.17,7630739661.61,930007096.71
2017-04-15,600886,0.5771,4.226395443574,14.17,29270802965.48,3916447642.38
2016-10-31,600886,0.5024,4.138215925264,12.33,22139965801.99,3409231824.67
2016-08-31,600886,0.219,3.852147912796,5.44,13138564310.35,1486337963.33
2016-04-30,600886,0.1829,4.099551054409,4.56,6900062535.58,1241174650.3
2016-04-08,600886,0.7998,3.916649436358,21.84,31279699772.91,5427522203.84
2015-10-30,600886,0.6684,3.783609675125,18.34,24390224176.69,4536107583.69
2015-08-28,600886,0.361,3.476193504079,10.06,14926173663.58,2450054443.45
2015-04-28,600886,0.1807,3.587783725117,5.16,7600001553.62,1226128409.28
2015-04-10,600886,0.8252,3.410518138518,26.9,32957169192.11,5599833222.73
2014-10-28,600886,0.684,3.266368719419,22.66,25532032094.88,4641548483.51
2014-08-28,600886,0.2971,2.871197384089,10.36,14621681241.7,2015893650.34
2014-04-26,600886,0.1242,2.844461067707,4.46,7403217065.14,842657788.0
2014-04-15,600886,0.5265,2.720285575683,21.27,28338981085.05,3305278967.24
