date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-28,601456,0.09,9.416595734868,0.94,1856319897.71,496755400.36
2026-03-28,601456,0.36,9.240284858872,4.16,7673396283.93,2008916574.4
2025-10-31,601456,0.31,9.157528915457,3.74,6038106644.3,1762737381.05
2025-08-29,601456,0.2,8.993377095968,2.52,4011202732.16,1127232864.49
2025-04-30,601456,0.08,8.888180334443,0.96,1562489599.05,376144390.86
2025-03-27,601456,0.14,6.562790086151,2.19,2683134475.63,397419308.25
2024-10-31,601456,0.14,6.485196331502,2.18,2004892871.86,395852452.2
2024-08-31,601456,0.03,6.449544456341,0.48,1085877120.0,87709328.57
2024-04-30,601456,-0.08,6.324897003876,-1.23,173420445.95,-218754276.47
2024-03-27,601456,0.24,6.274757382958,3.89,2955461374.61,671319142.04
2023-10-28,601456,0.26,6.315425637796,4.2,2507217168.06,726780442.83
2023-08-30,601456,0.21,6.267953373838,3.48,1807078426.17,600312605.07
2023-04-29,601456,0.07,6.101702222425,1.22,678374714.39,207346319.54
2023-03-29,601456,0.27,5.918748330597,4.62,2622939104.01,767284571.89
2022-10-28,601456,0.23,5.890943886516,3.88,2054741067.4,643534947.46
2022-08-27,601456,0.15,5.847882334539,2.63,1273723514.9,437236663.71
2022-04-30,601456,0.07,5.866998042256,1.14,636002769.33,188856677.8
2022-03-25,601456,0.36,5.784738860094,7.27,2966631400.54,888639753.44
2021-10-29,601456,0.28,5.669468260291,6.05,2053834496.06,656901613.12
2021-08-25,601456,0.16,4.47157640727,3.52,1130098239.5,378997194.61
2021-04-30,601456,0.12,,2.8,495097104.51,229311639.83
2021-04-30,601456,0.07,4.519099291242,1.47,470589947.35,157311074.79
2021-03-19,601456,0.28,4.454852772754,6.41,1876340313.32,587871418.22
2020-10-29,601456,0.23,4.402617367861,5.26,1365263095.93,459155385.32
2020-10-29,601456,0.25,,6.08,1208112772.95,477873806.55
2020-08-28,601456,0.17,4.409565860319,3.9,822341043.04,321243168.59
2020-07-13,601456,,,,577211000.0,295384000.0
2020-03-03,601456,0.27,4.240604480088,6.64,1619382372.77,521344151.14
2019-08-30,601456,0.19,4.153859861228,4.56,851428869.99,356321255.47
2019-04-26,601456,0.03,4.020807401177,0.66,989719000.0,50588000.0
2018-08-30,601456,0.07,4.064389192599,,574158000.0,133498000.0
2018-03-30,601456,0.19,3.991049201009,4.77,1262535000.0,361492000.0
2017-08-30,601456,0.13,3.964852817494,3.09,618809000.0,237931000.0
2017-08-21,601456,0.07,4.049859125315,,331854000.0,140853000.0
2017-04-24,601456,0.88,4.066065496215,25.87,3079072000.0,1471438000.0
2017-04-24,601456,0.32,3.978734016842,7.97,1836463830.87,610067590.12
2016-12-23,601456,0.18,3.811272077376,4.25,929033000.0,334322000.0
2016-04-30,601456,0.48,2.72134,19.67,1668332000.0,714955000.0
2016-01-07,601456,,3.280538589733,,1750939745.34,956679736.08
2015-05-25,601456,,1.849183033547,,1175965091.35,453259431.49
2015-04-30,601456,0.18,2.139535682673,8.76,1000977188.45,269761799.58
2014-04-30,601456,0.06,1.971651671067,,821989902.26,93919579.6
2013-04-27,601456,0.09,1.933646297933,,872310213.31,132880042.99
2011-07-19,601456,,1.964826392713,,450100310.09,180445538.03
2010-07-19,601456,0.0,1.862869048,,424072785.6,192966662.26
2010-01-20,601456,0.39,1.870451638207,,1379598982.78,586490989.77
2009-07-17,601456,0.0,1.627701196193,,544339533.89,272358066.41
2009-01-19,601456,0.03,1.498859722827,,376174540.82,48212402.78
2008-07-18,601456,0.0,1.389979827087,,31023135.35,-118050532.86
2008-01-21,601456,1.48,2.25654465127,,2739887197.59,1476652430.16
